MTK;;square metre;CST;en
MTK;;square metre;CST;ro
MTK;;метры квадратные;CST;ru
DMK;;square decimetre;ARE;en
CMK;;square centimetre;ARE;en
DMK;;square decimetre;ARE;ro
CMK;;square centimetre;ARE;ro
DMK;;дециметр квадратный;ARE;ru
CMK;;сантиметр квадратный;ARE;ru
E14;;kilocalorie (international table);HT;en
E14;;kilocalorie (international table);HT;ro
E14;;килокалория;HT;ru
D44;;var;LCT;en
KVR;;kilovar;LCT;en
D44;;var;LCT;ro
KVR;;kilovar;LCT;ro
D44;;вар;LCT;ru
KVR;;киловар;LCT;ru
KMT;;kilometre;LNG;en
MTR;;metre;LNG;en
CMT;;centimetre;LNG;en
KMT;;kilometre;LNG;ro
MTR;;metre;LNG;ro
CMT;;centimetre;LNG;ro
KMT;;километры;LNG;ru
MTR;;метры;LNG;ru
CMT;;сантиметр;LNG;ru
KGM;;kilogram;MSS;en
TNE;;tonne (metric ton);MSS;en
KGM;;kilogram;MSS;ro
TNE;;tonne (metric ton);MSS;ro
KGM;;килограммы;MSS;ru
TNE;;тонны;MSS;ru
GRM;;gram;MCH;en
KWH;;kilowatt hour;MCH;en
KWT;;kilowatt;MCH;en
GRM;;gram;MCH;ro
KWH;;kilowatt hour;MCH;ro
KWT;;kilowatt;MCH;ro
GRM;;грамм;MCH;ru
KWH;;киловатт-час;MCH;ru
KWT;;киловатт;MCH;ru
HUR;;hour;TM;en
MON;;month;TM;en
SEC;;second [unit of time];TM;en
MIN;;minute [unit of time];TM;en
HUR;;hour;TM;ro
MON;;month;TM;ro
SEC;;second [unit of time];TM;ro
MIN;;minute [unit of time];TM;ro
HUR;;час;TM;ru
MON;;месяц;TM;ru
SEC;;секунда;TM;ru
MIN;;минута;TM;ru
LTR;;litre;VLM;en
MTQ;;cubic metre;VLM;en
MLT;;millilitre;VLM;en
CMQ;;cubic centimetre;VLM;en
LTR;;litre;VLM;ro
MTQ;;cubic metre;VLM;ro
MLT;;millilitre;VLM;ro
CMQ;;cubic centimetre;VLM;ro
LTR;;литр;VLM;ru
MTQ;;метры кубические;VLM;ru
MLT;;милилитр;VLM;ru
CMQ;;сантиметр кубический;VLM;ru
